Complex name	Complex size	Organism	Number of RNA-binding subunits	Number of SUMOylated subunits	RNA binding	SUMOylated	RNA.SUMO
Golgi transport complex	8	yeast	0	0	FALSE	FALSE	FALSE.FALSE
GPI-anchor transamidase complex	5	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Grh1-Bug1 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
GSE Complex	5	yeast	0	0	FALSE	FALSE	FALSE.FALSE
GSH degradosomal complex	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Gsp1-Prp20 complex	3	yeast	0	2	FALSE	TRUE	FALSE.TRUE
Gyl1-Gyp5 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
H+-transporting ATPase, Golgi	13	yeast	1	2	TRUE	TRUE	TRUE.TRUE
H+-transporting ATPase, vacuolar	13	yeast	1	3	TRUE	TRUE	TRUE.TRUE
HAT-A4 complex	8	yeast	0	2	FALSE	TRUE	FALSE.TRUE
HDA complex	3	yeast	0	1	FALSE	TRUE	FALSE.TRUE
heterogeneous nuclear ribonucleoprotein complex (GO)	2	yeast	2	0	TRUE	FALSE	TRUE.FALSE
heterotrimeric G-protein complex (GO)	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
high affinity iron permease complex (GO)	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
HIR complex	4	yeast	0	2	FALSE	TRUE	FALSE.TRUE
HMC Complex	4	yeast	1	3	TRUE	TRUE	TRUE.TRUE
HOG pathway	11	yeast	0	1	FALSE	TRUE	FALSE.TRUE
Holliday junction resolvase complex (GO)	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Hop2p/Mnd1p complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
HOPS complex	7	yeast	0	0	FALSE	FALSE	FALSE.FALSE
hst3-hst4	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Hym1p/Kic1p/Sog2p complex	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
i-AAA complex	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Ic-CPY complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Ino2p/Ino4p basic helix-loop-helix heteromeric complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
INO80 complex	14	yeast	1	9	TRUE	TRUE	TRUE.TRUE
ISW1 complex (JB)	5	yeast	0	2	FALSE	TRUE	FALSE.TRUE
ISW1 complex (AB)	4	yeast	0	1	FALSE	TRUE	FALSE.TRUE
Kap114-Nap1 histone complex	5	yeast	0	2	FALSE	TRUE	FALSE.TRUE
Kel1p/Kel2p/Lte1p complex	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
kinesin complex (GO)	6	yeast	0	0	FALSE	FALSE	FALSE.FALSE
kinetochore	18	yeast	0	1	FALSE	TRUE	FALSE.TRUE
Kornberg's mediator (SRB) complex	27	yeast	0	6	FALSE	TRUE	FALSE.TRUE
Ku70:Ku80 complex	2	yeast	2	0	TRUE	FALSE	TRUE.FALSE
LMA1 complex	2	yeast	0	1	FALSE	TRUE	FALSE.TRUE
lst4-lst7	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
luminal surveillance complex	3	yeast	0	1	FALSE	TRUE	FALSE.TRUE
m-AAA complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
mannosyltransferase complex (GO)	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
MBF transcription complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
MCM complex (GO)	6	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Mdm10/Mdm12/Mmm1 complex (GO)	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Mei5p/Sae3p complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
meiotic recombination initiation complex	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Met4p/Met28p/Met31p complex	3	yeast	0	1	FALSE	TRUE	FALSE.TRUE
Met4p/Met28p/Met32p complex	3	yeast	0	1	FALSE	TRUE	FALSE.TRUE
methionyl glutamyl tRNA synthetase complex	3	yeast	2	2	TRUE	TRUE	TRUE.TRUE
Mgm1p/Ugo1p/Fzo1p complex	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
MIND complex	4	yeast	0	0	FALSE	FALSE	FALSE.FALSE
mitochondrial DNA-directed RNA polymerase complex	2	yeast	1	0	TRUE	FALSE	TRUE.FALSE
mitochondrial inner membrane peptidase complex (GO)	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
mitochondrial inner membrane presequence translocase complex (GO)	6	yeast	0	0	FALSE	FALSE	FALSE.FALSE
mitochondrial inner membrane protein insertion complex (GO)	4	yeast	0	0	FALSE	FALSE	FALSE.FALSE
mitochondrial intermembrane space protein transporter complex (GO)	4	yeast	0	0	FALSE	FALSE	FALSE.FALSE
mitochondrial isocitrate dehydrogenase complex (NAD+)	2	yeast	2	0	TRUE	FALSE	TRUE.FALSE
mitochondrial outer membrane translocase complex (GO)	8	yeast	0	1	FALSE	TRUE	FALSE.TRUE
mitochondrial oxoglutarate dehydrogenase complex	4	yeast	0	0	FALSE	FALSE	FALSE.FALSE
mitochondrial processing peptidase complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
mitochondrial proton-transporting ATP synthase complex	6	yeast	0	0	FALSE	FALSE	FALSE.FALSE
mitochondrial pyruvate dehydrogenase complex	7	yeast	0	1	FALSE	TRUE	FALSE.TRUE
mitochondrial respiratory chain complex II (GO)	4	yeast	0	0	FALSE	FALSE	FALSE.FALSE
mitochondrial respiratory chain complex IV	9	yeast	0	0	FALSE	FALSE	FALSE.FALSE
mitochondrial ribosome (GO)	4	yeast	1	1	TRUE	TRUE	TRUE.TRUE
mitochondrial small ribosomal subunit	34	yeast	11	0	TRUE	FALSE	TRUE.FALSE
mitochondrial sorting and assembly machinery complex (GO)	4	yeast	0	0	FALSE	FALSE	FALSE.FALSE
mitochondtrial large ribosomal subunit	46	yeast	18	0	TRUE	FALSE	TRUE.FALSE
mitotic checkpoint complex	6	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Mlh2-Mlh1 heterodimer	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
mms22-rtt101-mms1	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Mob1p/Dbf2p complex	2	yeast	1	0	TRUE	FALSE	TRUE.FALSE
Mob2p/Cbk1p complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
monopolin complex (GO)	4	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Mot1p complex	2	yeast	0	2	FALSE	TRUE	FALSE.TRUE
Mps2p/Bbp1p complex	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Mre11 complex (GO)	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
mRNA cap complex (GO)	3	yeast	3	0	TRUE	FALSE	TRUE.FALSE
mRNA capping enzyme complex	2	yeast	0	2	FALSE	TRUE	FALSE.TRUE
mRNA cleavage factor complex	9	yeast	9	3	TRUE	TRUE	TRUE.TRUE
Mst27p/Mst28p complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Mtk1p/Pbp1p complex	2	yeast	1	1	TRUE	TRUE	TRUE.TRUE
Mto1p/Mss1p complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
multi-eIF complex	8	yeast	8	5	TRUE	TRUE	TRUE.TRUE
MutLalpha complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
MutLbeta complex (GO)	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
MutSalpha complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
MutSBeta complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
myosin V complex (GO)	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Nam1-Sls1 complex	2	yeast	1	0	TRUE	FALSE	TRUE.FALSE
nascent polypeptide-associated complex	3	yeast	0	1	FALSE	TRUE	FALSE.TRUE
NatA complex	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
NatB complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
NatC complex	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
NC2 complex	2	yeast	0	1	FALSE	TRUE	FALSE.TRUE
Ndc80 complex	4	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Nem1p/Spo7p complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
No-Go mRNA decay	2	yeast	1	0	TRUE	FALSE	TRUE.FALSE
Noc1p-Noc2p complex (GO)	2	yeast	2	0	TRUE	FALSE	TRUE.FALSE
Nonsense-mediated mRNA decay pathway complex	3	yeast	3	0	TRUE	FALSE	TRUE.FALSE
Npa2p-containing subcomplex	5	yeast	3	1	TRUE	TRUE	TRUE.TRUE
Nrd1-Nab3-Sen1 termination complex	4	yeast	4	0	TRUE	FALSE	TRUE.FALSE
Ntr1p/Ntr2p/Prp43p complex	3	yeast	2	0	TRUE	FALSE	TRUE.FALSE
NuA3 histone acetyltransferase complex (GO)	5	yeast	0	2	FALSE	TRUE	FALSE.TRUE
NuA4 histone acetyltransferase complex	13	yeast	0	6	FALSE	TRUE	FALSE.TRUE
nuclear cohesin complex	6	yeast	0	3	FALSE	TRUE	FALSE.TRUE
nuclear condensin complex	5	yeast	0	2	FALSE	TRUE	FALSE.TRUE
nuclear pore	52	yeast	7	2	TRUE	TRUE	TRUE.TRUE
nuclear telomere cap complex (GO)	11	yeast	0	4	FALSE	TRUE	FALSE.TRUE
nucleolar preribosome, large subunit precursor (GO)	6	yeast	3	3	TRUE	TRUE	TRUE.TRUE
nucleolar preribosome, small subunit precursor (GO)	5	yeast	3	1	TRUE	TRUE	TRUE.TRUE
nucleolar ribonuclease P complex	9	yeast	6	0	TRUE	FALSE	TRUE.FALSE
Nucleosomal protein complex	8	yeast	0	6	FALSE	TRUE	FALSE.TRUE
nucleotide-excision repair factor 1 complex	3	yeast	0	1	FALSE	TRUE	FALSE.TRUE
nucleotide-excision repair factor 1 complex (GO)	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
nucleotide-excision repair factor 2 complex	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
nucleotide-excision repair factor 3 complex	7	yeast	1	0	TRUE	FALSE	TRUE.FALSE
nucleotide-excision repair factor 3 complex (GO)	4	yeast	0	0	FALSE	FALSE	FALSE.FALSE
nucleotide-excision repair factor 4 complex (GO)	4	yeast	0	2	FALSE	TRUE	FALSE.TRUE
OAF complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
oligosaccharyl transferase complex (GO)	9	yeast	0	0	FALSE	FALSE	FALSE.FALSE
origin recognition complex	6	yeast	0	1	FALSE	TRUE	FALSE.TRUE
palmitoyltransferase complex (GO)	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
PAN complex	2	yeast	1	0	TRUE	FALSE	TRUE.FALSE
Pba1-Pba2 complex	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Pcl7-Pho85 CDK-cyclin complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
peroxin docking complex	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
phenylalanine-tRNA ligase complex	2	yeast	2	1	TRUE	TRUE	TRUE.TRUE
Pho80-Pho81-Pho85 CDK-cyclin complex	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Pho85p/Pcl10p complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Pho85p/Pcl1p complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Pho85p/Pcl2p complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
phosphatidylinositol (PtdIns) 3-kinase complex (functions in autophagy)	4	yeast	0	0	FALSE	FALSE	FALSE.FALSE
phosphatidylinositol 3-kinase complex II	4	yeast	0	0	FALSE	FALSE	FALSE.FALSE
phosphopyruvate hydratase complex (GO)	2	yeast	0	2	FALSE	TRUE	FALSE.TRUE
PKC pathway	14	yeast	0	0	FALSE	FALSE	FALSE.FALSE
polarisome	5	yeast	0	1	FALSE	TRUE	FALSE.TRUE
Polzeta-Rev1p complex	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
pre-IC	7	yeast	0	1	FALSE	TRUE	FALSE.TRUE
prefoldin complex	6	yeast	0	0	FALSE	FALSE	FALSE.FALSE
preribosome (GO)	2	yeast	1	0	TRUE	FALSE	TRUE.FALSE
preribosome, large subunit precursor	30	yeast	21	8	TRUE	TRUE	TRUE.TRUE
presequence translocase-associated import motor	7	yeast	0	1	FALSE	TRUE	FALSE.TRUE
prohibitin complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
protein farnesyltransferase complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Protein O-mannosyltransferase(Pmt1p/Pmt2p)	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Protein O-mannosyltransferase(Pmt3p/Pmt5p)	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
protein phosphatase type 1 complex (GO)	7	yeast	0	0	FALSE	FALSE	FALSE.FALSE
protein phosphatase type 2A complex	8	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Prp19-associated complex	8	yeast	0	1	FALSE	TRUE	FALSE.TRUE
Prs1-Prs3 heterodimer	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
Psr2-Psr1-Whi2 complex	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putatie Saf1-Aah1 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Abp1-Crn1 complex	2	yeast	0	1	FALSE	TRUE	FALSE.TRUE
putative Ade16-Ade17-Sol2 complex	3	yeast	0	1	FALSE	TRUE	FALSE.TRUE
putative Ark1-Ste4 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Aro3-Bcs1 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Arx1-Rsa4-Sda1-Ipi3-Nsa2-Nog2-Bud20-Ipi1-Mdn1 complex	9	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Asn1-Asn2 isozyme complex	2	yeast	0	1	FALSE	TRUE	FALSE.TRUE
putative Atg18-Atg2 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Ats1-Kti11 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Bat1-Bat2 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Bdh1-Bdh2 complex	2	yeast	0	1	FALSE	TRUE	FALSE.TRUE
putative Boi2-Cdc24 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Bre1-Lge1 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Bud6-Yor304c-a complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Cdc19-Pyk2 isozyme complex	2	yeast	0	1	FALSE	TRUE	FALSE.TRUE
putative Cdc47-Erg26 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Cia1-Yhr122w-Met18-Nar1 complex	4	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Cin8-Zwf1 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Cmd1-Mlc1-Myo2-Myo1-Mlc2 complex	5	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Cox20-Chs1 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Crm1-Mir1-Erd2-Tub1-Gea2-Mtr10-Kap104 complex	7	yeast	0	1	FALSE	TRUE	FALSE.TRUE
putative Crn1-Inp52-Bsp1 complex	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Cul3-Yil001w complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Cwc2-Spp382-Ntr2 complex	3	yeast	2	0	TRUE	FALSE	TRUE.FALSE
putative Cyc3-Yat1 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Ddi1-Pmt4 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Dhr2-Ubp10 complex	2	yeast	1	0	TRUE	FALSE	TRUE.FALSE
putative Dre2-Tah18 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Drn1-Dbr1 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Ecm30-Ubp15 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Ede1-Syp1 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Efg1-Bud22 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Eft1-Eft2 complex	2	yeast	2	1	TRUE	TRUE	TRUE.TRUE
putative Ela1-Tys1 complex	2	yeast	1	0	TRUE	FALSE	TRUE.FALSE
putative Emp24-Erv25-Erp3-Erp5 complex	4	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Erg7-Erg27 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Erv46-Erv41-Ero1 complex	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Faa4-Ygl082w complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Fap1-Fpr1-Yil161w complex	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Fbp26-Ylr345w complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Flc2-Pdr5 complex	2	yeast	0	1	FALSE	TRUE	FALSE.TRUE
putative Flc2-Tcb3 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Fmc1-Atp12 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Fpr3-Ssb2 complex	2	yeast	0	2	FALSE	TRUE	FALSE.TRUE
putative Fun19-Kap123 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Gdh1-Gdh3 isozyme complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Gdi1-Ypt6-Ypt1 complex	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Gir2-Rbg2 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Glt1-Ylr257w complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Grh1-Fmp38 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Gsy1-Gsy2 complex	2	yeast	0	1	FALSE	TRUE	FALSE.TRUE
putative Hca4-Esf1-Esf2 complex	3	yeast	3	1	TRUE	TRUE	TRUE.TRUE
putative Heh2-Erg24 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Hmg1-Hmg2 isozyme complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Hmt1-Scd6-Psp2 complex	3	yeast	2	0	TRUE	FALSE	TRUE.FALSE
putative Hrr25-Ltv1-Rio2-Tsr1 complex	4	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Hsp42-Gln1 complex	2	yeast	0	1	FALSE	TRUE	FALSE.TRUE
putative Hsp42-Sis1 complex	2	yeast	0	2	FALSE	TRUE	FALSE.TRUE
putative Ipp1-Ack1-Rom2 complex	3	yeast	0	1	FALSE	TRUE	FALSE.TRUE
putative Ipp1-Tus1-Ypl066w complex	3	yeast	0	1	FALSE	TRUE	FALSE.TRUE
putative Kap123-Ypr174c complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Kem1-Gbp2-Sro9-Sbp1 complex	4	yeast	4	1	TRUE	TRUE	TRUE.TRUE
putative Kex2-Sil1 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Las17-Sla1-Vrp1 complex	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Leu4-Leu9 isozyme complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Lsg1-Nmd3-Rei1 complex	3	yeast	2	0	TRUE	FALSE	TRUE.FALSE
putative Lys20-Lys21 isozyme complex	2	yeast	0	1	FALSE	TRUE	FALSE.TRUE
putative Map1-Ybr030w complex	2	yeast	1	1	TRUE	TRUE	TRUE.TRUE
putative Mba1-Ste50 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Mdm10-Mpm1-Tom40-Yhm2 complex	4	yeast	0	1	FALSE	TRUE	FALSE.TRUE
putative Met13-Met12 isozyme complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Met13-Yml082w complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Mnl1-Pdi1 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Mob1-Dbf20 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Nfs1-Isd11 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Nma2-Nma1 complex	2	yeast	0	1	FALSE	TRUE	FALSE.TRUE
putative Nnf2-Yel043w complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Nqm1-Tal1 complex	2	yeast	0	1	FALSE	TRUE	FALSE.TRUE
putative Nth1-Bmh1-Bmh2 complex	3	yeast	0	1	FALSE	TRUE	FALSE.TRUE
putative Nuc1-Trz1-Ymr099c complex	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Nup170-Nup53-Hms1 complex	3	yeast	0	1	FALSE	TRUE	FALSE.TRUE
putative Nvj1-Tos4 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Oca6-Oca5-Oca4-Oca3-Oca1-Oca2 complex	6	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Osh2-Swh1 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Oye2-Oye3 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Paa1-Ptc2 complex	2	yeast	0	1	FALSE	TRUE	FALSE.TRUE
putative Pck1-Eno1 complex	2	yeast	0	1	FALSE	TRUE	FALSE.TRUE
putative Pcl8-Pho85 CDK-cyclin complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Pcm1-Mgs1 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Pet112-Ymr293c complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Pex5-Mmt1 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Pkh1-Mrp8-Pil1-Lsp1 complex	4	yeast	0	1	FALSE	TRUE	FALSE.TRUE
putative Pmr1-Psd1 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Pol4-Rpn5 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Psy2-Rrd1 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Ptc3-Paa1 complex	2	yeast	0	1	FALSE	TRUE	FALSE.TRUE
putative Ptc4-Ydr186c complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Ptc6-Pro2 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Ptc7-Sec14 complex	2	yeast	0	1	FALSE	TRUE	FALSE.TRUE
putative Put1-Ymr315w complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Pyc1-Pyc2 isozyme complex	2	yeast	0	1	FALSE	TRUE	FALSE.TRUE
putative Rgd1-Fyv8 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Rim1-Rad52 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Rpl23a-Rpl23b-Bcp1-Rkm1 complex	4	yeast	2	0	TRUE	FALSE	TRUE.FALSE
putative Sah1-Caf16 complex	2	yeast	0	1	FALSE	TRUE	FALSE.TRUE
putative Sas3-Nto1-Ylr455w complex	3	yeast	0	2	FALSE	TRUE	FALSE.TRUE
putative Sas5-Wtm2 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Ser3-Ser33 isozyme complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Sfp1-Mrs6 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Sgn1-Ygr250c complex	2	yeast	2	0	TRUE	FALSE	TRUE.FALSE
putative Sit4-Sap185-Rts3-Hrk1 complex	4	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Skp1-Ypt52-Ymr258c complex	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Sla2-Lsb3 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Slu7-Prp18 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Slx5-Swa2 complex	2	yeast	0	1	FALSE	TRUE	FALSE.TRUE
putative Snf7-Vps4 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Sok1-Rtn1-Crp1-Ids2-Pep4 complex	5	yeast	0	2	FALSE	TRUE	FALSE.TRUE
putative Spe3-Spe4 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Ssd1-Psy4-Pph3-Psy2 complex	4	yeast	1	0	TRUE	FALSE	TRUE.FALSE
putative Ssl2-Yor352w complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Ste23-Mrn1 complex	2	yeast	1	0	TRUE	FALSE	TRUE.FALSE
putative Tao3-Yml081w complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Tdh1-Tdh2 isozyme complex	2	yeast	0	2	FALSE	TRUE	FALSE.TRUE
putative Tdh3-Pgk1-Eno2-Fba1-Pgm1 complex	5	yeast	1	5	TRUE	TRUE	TRUE.TRUE
putative Tkl2-Tkl1 isozyme complex	2	yeast	0	1	FALSE	TRUE	FALSE.TRUE
putative Tma20-Tma22 complex	2	yeast	2	0	TRUE	FALSE	TRUE.FALSE
putative Tom71-Ylr072w complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Trm3-Fas1 complex	2	yeast	1	0	TRUE	FALSE	TRUE.FALSE
putative Trm7-Rtt10 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Trm7-Ymr259c complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Trr1-Trr2 complex	2	yeast	0	1	FALSE	TRUE	FALSE.TRUE
putative Tub3-Gcn1-Gcn20-Gfa1-Mae1-Sam1-Clu1 complex	7	yeast	1	3	TRUE	TRUE	TRUE.TRUE
putative Uba1-Ydr415c complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Ubc4-Ufd4 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Ubp13-Yol087c complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Uga1-Ndt80 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Ura5-Ura10 isozyme complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Vab2-Ydr357c-Ykl061w-YGL079w-Ynl086w complex	5	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Vac8-Nce102 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Yae1-Ynl260c complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Yak1-Ypl247c complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Ybr137w-Sgt2-Mdy2-Yor164c complex	4	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Ybr225w-Mds3-Cdc25 complex	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Ybt1-Dak1 complex	2	yeast	0	1	FALSE	TRUE	FALSE.TRUE
putative Ycp4-Rfs1-Pst2 complex	3	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Yef1-Utr1 complex	2	yeast	0	0	FALSE	FALSE	FALSE.FALSE
putative Yer071c-Aim21-Cap1-Cap2 complex	4	yeast	0	0	FALSE	FALSE	FALSE.FALSE
